permno,permco,month,date,ticker,ncusip,shrcd,exchcd,siccd,ret,retx,ret_adj,shrout,price,market_equity,vol,prc
15543,55373,2020-06-30,2020-06-30,XELB,98400M10,11,3,9999,0.104911,0.104911,0.104911,19231.0,0.891,17.134821,108362.0,0.891
15543,55373,2020-07-31,2020-07-31,XELB,98400M10,11,3,9999,-0.056902,-0.056902,-0.056902,19231.0,0.8403,16.1598093,17829.0,0.8403
15543,55373,2020-08-31,2020-08-31,XELB,98400M10,11,3,9999,-0.04546,-0.04546,-0.04546,19231.0,0.8021,15.4251851,111606.0,0.8021
15543,55373,2020-09-30,2020-09-30,XELB,98400M10,11,3,9999,-0.044882,-0.044882,-0.044882,19231.0,0.7661,14.7328691,11279.0,0.7661
15543,55373,2020-10-31,2020-10-30,XELB,98400M10,11,3,9999,0.161206,0.161206,0.161206,19231.0,0.8896,17.1078976,177883.0,0.8896
15543,55373,2020-11-30,2020-11-30,XELB,98400M10,11,3,9999,0.101619,0.101619,0.101619,19231.0,0.98,18.84638,51380.0,0.98
15543,55373,2020-12-31,2020-12-31,XELB,98400M10,11,3,9999,0.234694,0.234694,0.234694,19261.0,1.21,23.305809999999997,83644.0,1.21
15546,53853,2020-01-31,2020-01-31,Z,98954M20,11,3,9999,0.005877,0.005877,0.005877,144109.0,46.21,6659.27689,463405.0,46.21
15546,53853,2020-02-29,2020-02-28,Z,98954M20,11,3,9999,0.207747,0.207747,0.207747,144309.0,55.81,8053.88529,861510.0,55.81
15546,53853,2020-03-31,2020-03-31,Z,98954M20,11,3,9999,-0.354596,-0.354596,-0.354596,147220.0,36.02,5302.8644,1173587.0,36.02
15546,53853,2020-04-30,2020-04-30,Z,98954M20,11,3,9999,0.220433,0.220433,0.220433,147230.0,43.96,6472.230799999999,746078.0,43.96
15546,53853,2020-05-31,2020-05-29,Z,98954M20,11,3,9999,0.319154,0.319154,0.319154,147230.0,57.99,8537.8677,1046339.0,57.99
15546,53853,2020-06-30,2020-06-30,Z,98954M20,11,3,9999,-0.006553,-0.006553,-0.006553,159974.0,57.61,9216.10214,780651.0,57.61
15546,53853,2020-07-31,2020-07-31,Z,98954M20,11,3,9999,0.18712,0.18712,0.18712,160766.0,68.39,10994.78674,666362.0,68.39
15546,53853,2020-08-31,2020-08-31,Z,98954M20,11,3,9999,0.253985,0.253985,0.253985,160766.0,85.76,13787.29216,899432.0,85.76
15546,53853,2020-09-30,2020-09-30,Z,98954M20,11,3,9999,0.184585,0.184585,0.184585,165574.0,101.59,16820.66266,752325.0,101.59
15546,53853,2020-10-31,2020-10-30,Z,98954M20,11,3,9999,-0.12767,-0.12767,-0.12767,165888.0,88.62,14700.994560000001,562565.0,88.62
15546,53853,2020-11-30,2020-11-30,Z,98954M20,11,3,9999,0.216542,0.216542,0.216542,165888.0,107.81,17884.385280000002,741399.0,107.81
15546,53853,2020-12-31,2020-12-31,Z,98954M20,11,3,9999,0.20397,0.20397,0.20397,173207.0,129.8,22482.268600000003,654828.0,129.8
15579,21737,2020-01-31,2020-01-31,TXN,88250810,11,3,3674,-0.052537,-0.059553,-0.052537,932032.0,120.65,112449.66080000001,1110603.0,120.65
15579,21737,2020-02-29,2020-02-28,TXN,88250810,11,3,3674,-0.053958,-0.053958,-0.053958,933685.0,114.14,106570.8059,938243.0,114.14
15579,21737,2020-03-31,2020-03-31,TXN,88250810,11,3,3674,-0.124496,-0.124496,-0.124496,921481.0,99.93,92083.59633000001,2219080.0,99.93
15579,21737,2020-04-30,2020-04-30,TXN,88250810,11,3,3674,0.161513,0.161513,0.161513,917773.0,116.07,106525.91211,1396178.0,116.07
15579,21737,2020-05-31,2020-05-29,TXN,88250810,11,3,3674,0.030757,0.023003,0.030757,917773.0,118.74,108976.36602,923172.0,118.74
15579,21737,2020-06-30,2020-06-30,TXN,88250810,11,3,3674,0.069311,0.069311,0.069311,915591.0,126.97,116252.58927,1160938.0,126.97
15579,21737,2020-07-31,2020-07-31,TXN,88250810,11,3,3674,0.011656,0.004568,0.011656,915944.0,127.55,116828.6572,1078365.0,127.55
15579,21737,2020-08-31,2020-08-31,TXN,88250810,11,3,3674,0.114465,0.114465,0.114465,915944.0,142.14999,130201.43044056,734974.0,142.14999
15579,21737,2020-09-30,2020-09-30,TXN,88250810,11,3,3674,0.004502,0.004502,0.004502,917641.0,142.78999,131029.94921358999,927066.0,142.78999
15579,21737,2020-10-31,2020-10-30,TXN,88250810,11,3,3674,0.019749,0.012606,0.019749,917942.0,144.59,132725.23378,916335.0,144.59
15579,21737,2020-11-30,2020-11-30,TXN,88250810,11,3,3674,0.115222,0.115222,0.115222,917942.0,161.25,148018.1475,752569.0,161.25
15579,21737,2020-12-31,2020-12-31,TXN,88250810,11,3,3674,0.017861,0.017861,0.017861,919354.0,164.13,150893.57202,862153.0,164.13
15580,5,2020-01-31,2020-01-31,AAME,04820910,11,3,6320,0.121827,0.121827,0.121827,20472.0,2.21,45.243120000000005,686.0,2.21
15580,5,2020-02-29,2020-02-28,AAME,04820910,11,3,6320,0.117647,0.117647,0.117647,20472.0,2.47,50.56584,467.0,2.47
15580,5,2020-03-31,2020-03-31,AAME,04820910,11,3,6320,-0.145749,-0.145749,-0.145749,20472.0,2.11,43.19592,264.0,2.11
15580,5,2020-04-30,2020-04-30,AAME,04820910,11,3,6320,-0.158768,-0.158768,-0.158768,20472.0,1.775,36.337799999999994,832.0,1.775
15580,5,2020-05-31,2020-05-29,AAME,04820910,11,3,6320,-0.002817,-0.002817,-0.002817,20472.0,1.77,36.235440000000004,393.0,1.77
15580,5,2020-06-30,2020-06-30,AAME,04820910,11,3,6320,-0.064972,-0.064972,-0.064972,20454.0,1.655,33.85137,5664.0,1.655
15580,5,2020-07-31,2020-07-31,AAME,04820910,11,3,6320,0.117825,0.117825,0.117825,20454.0,1.85,37.8399,1264.0,1.85
15580,5,2020-08-31,2020-08-31,AAME,04820910,11,3,6320,0.081081,0.081081,0.081081,20454.0,2.0,40.908,4858.0,2.0
15580,5,2020-09-30,2020-09-30,AAME,04820910,11,3,6320,0.0,0.0,0.0,20414.0,2.0,40.828,740.0,2.0
15580,5,2020-10-31,2020-10-30,AAME,04820910,11,3,6320,0.01,0.01,0.01,20414.0,2.02,41.23628,2254.0,2.02
15580,5,2020-11-30,2020-11-30,AAME,04820910,11,3,6320,0.059406,0.059406,0.059406,20414.0,2.14,43.68596,1025.0,2.14
15580,5,2020-12-31,2020-12-31,AAME,04820910,11,3,6320,-0.037383,-0.037383,-0.037383,20415.0,2.06,42.0549,1515.0,2.06
15582,55377,2020-01-31,2020-01-31,OOMA,68341610,11,1,7374,-0.007559,-0.007559,-0.007559,21697.0,13.13,284.88161,18016.0,13.13
